Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100pF 50V","C0603",121.500000,-66.500000,90.000000,top
"C2","22uF 35V","C0805",123.500000,-66.500000,90.000000,top
"C3","100nF 50V","C0805",123.500000,-103.000000,180.000000,top
"C4","22uF 35V","C0805",138.000000,-102.500000,90.000000,top
"C5","100uF","CAP-SMD_BD5.0-L5.3-W5.3-LS6.3-FD",158.000000,-68.000000,180.000000,top
"C7","100nF","C0402",157.500000,-73.000000,0.000000,top
"C8","100uF","CAP-SMD_BD5.0-L5.3-W5.3-LS6.3-FD",148.000000,-68.000000,180.000000,top
"C9","100nF","C0402",147.000000,-73.000000,0.000000,top
"D1","SS36","SMA_L4.3-W2.6-LS5.2-RD",127.000000,-78.000000,-90.000000,top
"D2","SS36","SMA_L4.3-W2.6-LS5.2-RD",144.000000,-77.500000,-90.000000,top
"D3","SS36","SMA_L4.3-W2.6-LS5.2-RD",159.000000,-78.000000,-90.000000,top
"D4","SS36","SMA_L4.3-W2.6-LS5.2-RD",126.800000,-96.250000,0.000000,top
"D5","SS36","SMA_L4.3-W2.6-LS5.2-RD",122.500000,-70.500000,180.000000,top
"L1","47uH 800mA","IND-SMD_L4.0-W4.0_FNR40XXS",115.500000,-77.500000,90.000000,top
"L2","SM3521-4R7MT","IND-SMD_L3.5-W3.0",152.850000,-63.050000,180.000000,top
"Q1","AO3400A_C347475","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",121.500000,-92.500000,0.000000,top
"R1","5.1kΩ 100mW","R0603",123.500000,-105.250000,180.000000,top
"R2","5.1kΩ 100mW","R0603",122.500000,-81.500000,0.000000,top
"R3","5.1kΩ 100mW","R0603",148.500000,-76.000000,-90.000000,top
"R4","RC0603FR-0747RL","R0603",128.000000,-93.250000,180.000000,top
"R6","15kΩ","R0603",151.310000,-77.000000,180.000000,top
"R7","5.1kΩ 100mW","R0603",128.000000,-91.250000,180.000000,top
"Rs1","0.33 1W","R2512",124.000000,-86.000000,180.000000,top
"U2","PT4115","SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR",122.000000,-77.000000,-90.000000,top
"U4","MT3608","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",153.000000,-73.500000,-90.000000,top
"U5","110kΩ","R0603",154.750000,-77.000000,180.000000,top
